precinct_id,registered_voters,contest_name,total_votes_cast,Malcolm Kenyatta - Election Day,Malcolm Kenyatta - Absentee,Malcolm Kenyatta - Provisional,Tim DeFoor - Election Day,Tim DeFoor - Absentee,Tim DeFoor - Provisional,Reece Smith - Election Day,Reece Smith - Absentee,Reece Smith - Provisional,Bob Goodrich - Election Day,Bob Goodrich - Absentee,Bob Goodrich - Provisional,Eric K. Anton - Election Day,Eric K. Anton - Absentee,Eric K. Anton - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Scott Ward 6 Dist 1,645,Auditor General,509,179,92,3,148,41,7,8,5,0,4,1,0,2,0,0,1,0,0
Scott Ward 6 Dist 2,836,Auditor General,704,194,160,10,238,52,2,5,5,0,1,0,0,2,0,1,1,0,0
Scott Ward 7 Dist 1,914,Auditor General,741,198,202,2,195,87,3,5,7,0,6,3,0,0,0,0,0,0,0
Scott Ward 7 Dist 2,660,Auditor General,566,168,125,1,185,49,0,4,5,0,3,2,0,3,0,0,0,1,0
Scott Ward 8 Dist 1,525,Auditor General,467,130,88,1,164,44,3,9,3,0,1,1,0,2,1,0,0,0,0
Scott Ward 8 Dist 2,1057,Auditor General,892,182,221,5,237,187,4,10,6,1,1,1,0,2,1,0,0,0,0
Scott Ward 9 Dist 1,347,Auditor General,238,79,46,3,59,21,2,5,1,1,3,0,0,0,0,0,2,0,0
Scott Ward 9 Dist 2,367,Auditor General,293,113,61,2,70,22,0,2,3,0,4,0,0,0,0,0,0,0,0
Sewickley Ward 1,972,Auditor General,783,256,157,5,235,76,1,18,3,0,2,0,0,0,0,0,0,1,0
Sewickley Ward 2 Dist 1,533,Auditor General,403,99,85,4,125,55,6,4,1,0,1,0,0,1,0,0,0,0,0
Sewickley Ward 2 Dist 2,595,Auditor General,473,133,109,0,161,48,0,4,0,0,0,0,0,0,0,0,0,0,0
Sewickley Ward 3,1061,Auditor General,848,299,175,10,230,81,2,13,4,0,2,0,0,3,0,0,2,0,0
Sewickley Hts,790,Auditor General,635,124,94,1,276,100,3,11,5,0,1,1,0,0,0,0,0,0,0
Sewickley Hills,578,Auditor General,467,148,68,3,173,42,0,9,0,0,3,0,1,3,0,0,0,0,0
Shaler Ward 1 Dist 1,532,Auditor General,461,132,85,1,184,26,1,5,3,1,0,0,0,2,0,0,1,0,0
Shaler Ward 1 Dist 2,532,Auditor General,447,135,80,0,177,24,2,5,0,0,4,1,0,0,0,0,1,0,0
Shaler Ward 1 Dist 3,575,Auditor General,470,120,80,2,200,25,1,11,2,0,4,0,0,2,0,0,0,0,0
Shaler Ward 1 Dist 4,614,Auditor General,548,165,106,3,201,39,0,2,2,1,1,1,1,0,0,0,0,0,0
Shaler Ward 1 Dist 5,639,Auditor General,529,195,83,2,161,54,2,10,0,0,4,0,0,0,1,0,0,0,0
Shaler Ward 2 Dist 1,1049,Auditor General,910,223,167,3,379,75,2,15,2,0,4,1,0,0,1,0,0,0,0
Shaler Ward 2 Dist 2,778,Auditor General,673,167,102,3,279,83,1,11,1,0,2,2,0,2,0,0,0,1,0
Shaler Ward 2 Dist 3,619,Auditor General,523,189,72,3,188,32,4,4,2,0,3,1,1,2,0,0,0,1,1
Shaler Ward 2 Dist 4,784,Auditor General,694,222,109,1,250,55,2,6,4,0,3,4,0,5,1,0,2,0,0
Shaler Ward 2 Dist 5,363,Auditor General,318,100,64,1,110,22,2,4,0,0,1,0,0,0,1,0,0,0,0
Shaler Ward 3 Dist 1,603,Auditor General,521,139,108,1,189,57,1,5,4,0,0,0,0,1,0,0,0,0,0
Shaler Ward 3 Dist 2,607,Auditor General,526,153,94,2,199,36,2,7,4,0,10,2,0,1,0,0,1,0,0
Shaler Ward 3 Dist 3,579,Auditor General,514,124,87,1,212,53,4,8,1,0,2,1,0,1,0,0,0,0,0
Shaler Ward 3 Dist 4,719,Auditor General,635,186,109,2,241,61,2,5,1,1,2,2,0,0,1,0,1,0,0
Shaler Ward 3 Dist 5,660,Auditor General,569,133,89,3,241,68,1,8,0,0,5,1,0,1,0,0,0,0,0
Shaler Ward 4 Dist 1,869,Auditor General,753,209,110,3,303,57,2,14,4,0,8,3,0,2,1,1,0,0,0
Shaler Ward 4 Dist 2,456,Auditor General,374,123,57,1,132,27,2,6,0,0,5,1,0,0,0,0,0,0,0
Shaler Ward 4 Dist 3,631,Auditor General,545,162,98,1,194,50,1,12,1,0,1,3,0,1,0,0,1,0,0
Shaler Ward 4 Dist 4,660,Auditor General,571,143,105,1,224,60,2,7,0,0,3,1,0,2,1,0,0,0,0
Shaler Ward 4 Dist 5,520,Auditor General,441,144,78,0,165,34,0,1,0,0,2,1,0,3,0,0,1,0,0
Shaler Ward 5 Dist 1,760,Auditor General,665,171,101,2,262,74,3,14,2,0,6,1,0,2,2,0,1,0,0
Shaler Ward 5 Dist 2,665,Auditor General,602,189,85,2,251,38,4,6,1,0,4,1,0,1,0,0,0,0,0
Shaler Ward 5 Dist 3,544,Auditor General,491,130,103,1,176,53,1,7,1,0,2,0,0,2,2,0,0,0,0
Shaler Ward 5 Dist 4,363,Auditor General,321,85,37,0,137,36,0,7,4,0,3,0,0,1,1,0,0,0,0
Shaler Ward 5 Dist 5,776,Auditor General,664,192,103,1,239,80,2,14,1,0,3,1,0,3,0,0,1,0,0
Shaler Ward 6 Dist 1,620,Auditor General,556,140,98,2,240,42,2,10,0,0,4,0,0,1,0,0,0,0,0
Shaler Ward 6 Dist 2,735,Auditor General,622,171,90,4,258,52,5,14,4,0,7,1,0,0,1,0,0,0,0
Shaler Ward 6 Dist 3,582,Auditor General,519,130,87,0,208,60,0,6,2,0,2,0,0,0,0,0,0,0,0
Shaler Ward 6 Dist 4,335,Auditor General,295,79,57,1,107,34,3,1,0,0,2,0,0,1,0,0,0,0,0
Shaler Ward 6 Dist 5,555,Auditor General,487,156,100,0,153,51,2,3,2,0,1,3,0,0,0,0,0,0,0
Shaler Ward 7 Dist 1,596,Auditor General,508,164,106,2,166,31,2,12,1,0,5,0,0,1,0,0,0,0,0
Shaler Ward 7 Dist 2,782,Auditor General,652,203,108,2,236,58,1,15,5,0,6,0,0,2,1,0,0,0,0
Shaler Ward 7 Dist 3,640,Auditor General,513,135,82,5,203,37,1,15,0,1,0,1,0,1,0,0,0,0,0
Shaler Ward 7 Dist 4,1025,Auditor General,863,227,141,4,346,91,2,9,3,0,4,0,0,2,0,0,1,0,0
Sharpsburg Dist 1,619,Auditor General,421,182,71,7,103,12,1,11,2,1,8,0,0,2,0,0,0,0,0
Sharpsburg Dist 2,850,Auditor General,593,297,80,4,141,35,4,8,0,1,2,1,0,0,0,0,1,0,1
Sharpsburg Dist 3,843,Auditor General,654,252,94,8,206,41,1,11,2,1,5,2,0,6,0,0,0,0,0
S Fayette Dist 1,582,Auditor General,512,123,100,0,195,59,1,11,2,0,2,1,0,0,0,0,0,0,0
S Fayette Dist 2,1157,Auditor General,989,238,137,2,442,101,5,10,2,0,8,4,2,1,1,0,1,2,0
S Fayette Dist 3,2001,Auditor General,1698,423,313,10,644,188,5,20,11,0,5,2,0,3,1,0,1,0,0
S Fayette Dist 4,875,Auditor General,731,174,133,3,268,88,6,20,1,0,6,0,0,0,1,0,0,0,0
S Fayette Dist 5,1074,Auditor General,910,238,119,4,399,74,3,17,4,0,4,0,1,1,0,0,1,0,0
S Fayette Dist 6,1289,Auditor General,1038,294,168,7,417,79,6,11,3,0,3,1,0,1,1,0,3,0,0
S Fayette Dist 7,734,Auditor General,601,130,103,2,239,77,3,7,2,0,7,0,0,1,1,0,0,0,0
S Fayette Dist 8,1603,Auditor General,1384,334,280,3,487,197,8,14,3,0,4,2,0,0,0,0,0,0,0
S Fayette Dist 9,708,Auditor General,515,122,104,1,201,54,5,3,1,0,2,0,0,1,0,0,1,0,0
S Fayette Dist 10,740,Auditor General,600,174,90,6,231,56,1,9,3,0,6,2,0,1,1,0,1,0,0
S Fayette Dist 11,1140,Auditor General,935,230,145,6,399,94,12,6,1,0,2,0,0,1,1,0,0,0,0
S Fayette Dist 12,1051,Auditor General,875,187,191,9,317,114,6,13,2,1,0,2,0,0,0,1,1,0,0
South Park Dist 1,775,Auditor General,659,115,95,3,287,112,6,10,2,0,3,1,0,1,0,0,1,0,0
South Park Dist 2,777,Auditor General,639,169,115,1,252,63,3,6,0,1,6,0,0,2,1,0,0,0,0
South Park Dist 3,714,Auditor General,618,144,81,5,282,54,1,13,2,0,5,1,0,1,0,0,0,0,0
