precinct_id,registered_voters,contest_name,total_votes_cast,Kamala D. Harris - Election Day,Kamala D. Harris - Absentee,Kamala D. Harris - Provisional,Donald J. Trump - Election Day,Donald J. Trump - Absentee,Donald J. Trump - Provisional,Jill Stein - Election Day,Jill Stein - Absentee,Jill Stein - Provisional,Chase Oliver - Election Day,Chase Oliver - Absentee,Chase Oliver - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Duquesne Ward 2 Dist 3,426,Presidential Electors,256,118,45,7,64,14,1,2,0,0,1,1,0,1,0,0
Duquesne Ward 3 Dist 1,224,Presidential Electors,124,69,25,7,17,5,1,0,0,0,0,0,0,0,0,0
Duquesne Ward 3 Dist 2,146,Presidential Electors,77,48,16,3,5,3,1,0,0,0,0,0,0,0,0,0
Duquesne Ward 3 Dist 3,528,Presidential Electors,320,160,71,4,68,7,1,4,1,0,0,0,0,2,0,0
East Deer Ward 1,349,Presidential Electors,283,97,27,1,133,23,1,0,0,0,1,0,0,0,0,0
East Deer Ward 2,604,Presidential Electors,474,126,75,5,217,43,2,0,3,0,0,0,0,1,0,0
E McKeesport Dist 1,400,Presidential Electors,306,105,52,6,118,21,0,1,0,0,0,1,0,2,0,0
E McKeesport Dist 2,531,Presidential Electors,404,167,65,4,138,21,3,0,2,0,2,0,0,1,1,0
E McKeesport Dist 3,474,Presidential Electors,352,143,61,3,122,18,1,1,0,0,0,1,0,2,0,0
E Pittsburgh Ward 1,342,Presidential Electors,183,107,32,5,30,5,1,1,0,0,1,0,0,1,0,0
E Pittsburgh Ward 2,387,Presidential Electors,218,125,38,4,36,10,1,0,0,0,1,0,0,3,0,0
E Pittsburgh Ward 3,514,Presidential Electors,260,138,57,4,46,11,0,0,2,0,0,0,0,0,0,0
Edgewood Dist 1,1074,Presidential Electors,865,438,287,10,83,31,4,2,3,0,1,1,0,2,1,0
Edgewood Dist 2,938,Presidential Electors,787,406,258,5,70,33,1,3,2,0,0,2,0,3,2,0
Edgewood Dist 3,882,Presidential Electors,729,344,280,13,52,29,0,2,3,0,3,0,0,0,1,0
Edgeworth Dist 1,675,Presidential Electors,567,203,117,4,153,78,0,0,0,0,6,0,0,3,0,0
Edgeworth Dist 2,801,Presidential Electors,647,220,152,2,199,54,1,3,1,0,2,1,0,9,2,0
Elizabeth Br,894,Presidential Electors,686,177,80,1,369,49,6,0,0,0,1,0,2,1,0,0
