precinct_id,registered_voters,contest_name,total_votes_cast,Kamala D. Harris - Election Day,Kamala D. Harris - Absentee,Kamala D. Harris - Provisional,Donald J. Trump - Election Day,Donald J. Trump - Absentee,Donald J. Trump - Provisional,Jill Stein - Election Day,Jill Stein - Absentee,Jill Stein - Provisional,Chase Oliver - Election Day,Chase Oliver - Absentee,Chase Oliver - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Bethel Park Ward 4 Dist 3,878,Presidential Electors,727,195,162,5,257,94,3,6,0,0,1,0,0,2,0,0
Bethel Park Ward 5 Dist 1,712,Presidential Electors,590,136,103,1,251,86,1,2,1,0,1,3,1,3,0,0
Bethel Park Ward 5 Dist 2,653,Presidential Electors,537,169,95,3,213,47,2,1,2,0,2,1,0,2,0,0
Bethel Park Ward 5 Dist 3,1481,Presidential Electors,1189,310,377,4,326,153,3,1,3,0,5,1,1,3,1,0
Bethel Park Ward 6 Dist 1,1285,Presidential Electors,1102,264,220,6,442,159,2,1,1,0,1,3,0,1,0,0
Bethel Park Ward 6 Dist 2,945,Presidential Electors,821,251,180,1,284,86,4,2,2,0,3,1,0,3,1,0
Bethel Park Ward 6 Dist 3,908,Presidential Electors,753,191,183,6,273,88,3,1,0,0,0,0,0,2,0,0
Bethel Park Ward 7 Dist 1,1182,Presidential Electors,1023,279,194,6,398,132,4,1,0,0,0,1,0,3,2,0
Bethel Park Ward 7 Dist 2,1286,Presidential Electors,1035,269,261,7,344,136,3,0,0,1,4,2,0,5,0,0
Bethel Park Ward 7 Dist 3,760,Presidential Electors,649,178,165,0,228,61,4,1,1,0,2,1,0,3,2,0
Bethel Park Ward 8 Dist 1,556,Presidential Electors,470,142,89,0,176,59,0,1,0,0,2,0,0,0,1,0
Bethel Park Ward 8 Dist 2,526,Presidential Electors,394,123,113,3,94,50,2,1,0,0,3,0,0,1,0,0
Bethel Park Ward 8 Dist 3,1322,Presidential Electors,1134,300,266,1,430,115,3,5,0,0,1,4,0,6,2,0
Bethel Park Ward 8 Dist 4,468,Presidential Electors,404,129,93,1,133,37,4,1,0,0,1,1,0,2,0,0
Bethel Park Ward 9 Dist 1,594,Presidential Electors,513,170,89,3,192,50,4,0,0,0,1,1,0,2,0,0
Bethel Park Ward 9 Dist 2,750,Presidential Electors,614,208,142,1,202,44,3,4,1,0,3,1,0,1,0,0
Bethel Park Ward 9 Dist 3,1398,Presidential Electors,1191,323,280,4,409,157,4,0,3,0,3,0,0,2,3,0
Blawnox,1010,Presidential Electors,791,284,172,12,256,50,4,4,1,1,4,0,0,1,1,0
Brackenridge Ward 1,481,Presidential Electors,331,117,37,1,148,23,4,1,0,0,0,0,0,0,0,0
Brackenridge Ward 2,800,Presidential Electors,633,185,104,2,278,51,1,1,2,0,3,2,0,1,0,0
Brackenridge Ward 3,683,Presidential Electors,484,126,67,2,252,30,3,1,0,0,1,0,0,2,0,0
Braddock Ward 1,440,Presidential Electors,241,145,54,13,18,2,2,2,2,0,1,0,0,1,0,0
Braddock Ward 2,607,Presidential Electors,355,227,73,10,25,11,0,2,2,0,0,2,0,1,0,0
Braddock Ward 3,461,Presidential Electors,220,154,36,1,18,3,2,3,0,0,0,0,0,0,0,0
Braddock Hl Dist 1,798,Presidential Electors,532,225,144,9,112,31,2,4,0,0,1,2,0,1,0,0
Braddock Hl Dist 2,525,Presidential Electors,439,202,87,6,104,29,3,1,2,0,2,0,0,2,0,0
Bradford Woods,1021,Presidential Electors,873,240,202,6,313,96,0,0,0,0,4,0,0,3,2,0
Brentwood Dist 1,547,Presidential Electors,455,170,87,2,160,22,1,6,0,0,2,1,0,4,0,0
Brentwood Dist 2,767,Presidential Electors,574,197,117,6,205,37,1,2,0,0,4,1,0,3,1,0
Brentwood Dist 3,650,Presidential Electors,509,186,79,1,201,35,1,0,0,0,2,0,0,2,0,0
Brentwood Dist 4,806,Presidential Electors,637,204,131,10,224,54,2,2,1,0,3,1,1,2,1,0
Brentwood Dist 5,735,Presidential Electors,506,234,84,5,138,31,6,1,1,0,4,1,0,1,0,0
Brentwood Dist 6,672,Presidential Electors,478,181,114,10,128,31,7,0,1,0,1,1,0,2,1,0
Brentwood Dist 7,772,Presidential Electors,578,198,120,12,189,45,0,0,0,0,5,1,0,3,3,0
Brentwood Dist 8,728,Presidential Electors,598,188,127,5,208,58,2,1,1,0,3,0,0,2,2,0
Brentwood Dist 9,600,Presidential Electors,496,171,115,3,157,44,2,2,0,0,0,1,0,1,0,0
Brentwood Dist 10,565,Presidential Electors,446,141,60,3,184,48,2,1,0,0,2,2,0,2,0,0
Bridgeville Dist 1,792,Presidential Electors,612,198,90,7,257,45,6,2,0,0,6,0,0,0,0,1
Bridgeville Dist 2,875,Presidential Electors,688,253,103,5,271,47,3,2,0,0,1,1,0,0,0,1
Bridgeville Dist 3,850,Presidential Electors,685,192,112,3,317,52,6,0,0,0,2,0,0,0,0,0
Bridgeville Dist 4,1008,Presidential Electors,813,256,174,4,288,67,6,5,1,0,3,1,0,3,1,0
Carnegie Ward 1 Dist 1,548,Presidential Electors,415,152,71,10,151,22,4,2,0,0,2,0,0,0,1,0
Carnegie Ward 1 Dist 2,1218,Presidential Electors,932,371,156,13,300,63,8,6,0,1,11,0,0,1,0,0
Carnegie Ward 1 Dist 3,871,Presidential Electors,687,254,115,4,258,39,5,2,2,0,1,1,0,4,1,0
Carnegie Ward 1 Dist 4,373,Presidential Electors,245,85,61,5,63,20,2,1,0,0,1,1,0,2,1,0
Carnegie Ward 2 Dist 1,667,Presidential Electors,485,191,76,13,152,37,6,5,1,0,0,2,0,1,0,0
Carnegie Ward 2 Dist 2,514,Presidential Electors,402,167,88,7,111,22,1,2,0,0,0,0,0,0,0,0
Carnegie Ward 2 Dist 3,494,Presidential Electors,417,117,86,1,148,55,2,2,2,0,0,0,0,1,1,0
Carnegie Ward 2 Dist 4,836,Presidential Electors,563,215,107,7,168,49,4,6,2,0,2,1,0,1,0,0
Casl Shannon Dist 1,1069,Presidential Electors,779,286,194,12,208,62,4,0,1,1,3,0,0,5,3,0
Casl Shannon Dist 2,799,Presidential Electors,622,222,106,2,231,35,5,3,0,1,5,0,1,4,1,0
Casl Shannon Dist 3,872,Presidential Electors,702,234,136,4,256,60,5,2,2,0,1,0,0,0,0,0
Casl Shannon Dist 4,655,Presidential Electors,523,174,132,3,163,42,2,1,0,0,1,1,0,1,0,0
Casl Shannon Dist 5,842,Presidential Electors,654,246,143,3,211,39,4,4,1,0,1,0,0,1,0,0
Casl Shannon Dist 6,653,Presidential Electors,547,178,119,3,181,59,3,1,1,0,1,0,0,1,0,0
Casl Shannon Dist 7,744,Presidential Electors,624,198,132,6,224,52,5,1,0,0,0,1,0,2,0,0
Casl Shannon Dist 8,551,Presidential Electors,441,142,96,2,162,33,2,1,0,0,2,0,0,1,0,0
Chalfant Dist 1,606,Presidential Electors,461,177,87,5,145,35,2,2,0,0,1,0,0,3,0,0
Cheswick Dist 1,661,Presidential Electors,565,159,100,2,250,46,5,0,0,0,2,0,0,0,0,0
Cheswick Dist 2,652,Presidential Electors,575,158,117,3,247,44,2,0,0,0,0,1,0,1,0,0
Churchill Dist 1,717,Presidential Electors,611,266,184,1,109,38,1,2,0,0,2,1,0,3,1,0
Churchill Dist 2,701,Presidential Electors,588,231,186,1,118,34,1,8,1,0,4,2,0,1,1,0
Churchill Dist 3,650,Presidential Electors,571,243,152,2,114,45,0,3,2,1,4,0,0,2,1,0
Churchill Dist 4,701,Presidential Electors,590,202,170,1,160,44,2,6,0,0,2,1,0,2,0,0
Clairton Ward 1 Dist 1,361,Presidential Electors,213,98,32,6,62,10,0,3,0,0,1,0,0,1,0,0
Clairton Ward 1 Dist 2,429,Presidential Electors,282,120,35,4,91,26,0,1,1,0,0,0,0,1,0,0
Clairton Ward 1 Dist 3,338,Presidential Electors,237,77,21,3,117,13,2,1,1,0,0,0,0,0,0,0
Clairton Ward 2 Dist 1,94,Presidential Electors,55,48,4,1,0,0,0,0,1,0,0,0,0,0,0,0
Clairton Ward 2 Dist 2,281,Presidential Electors,165,103,38,6,12,3,1,0,1,0,1,0,0,0,0,0
Clairton Ward 2 Dist 3,421,Presidential Electors,238,143,54,2,23,12,1,1,0,0,0,0,0,0,0,0
Clairton Ward 3 Dist 1,448,Presidential Electors,304,115,60,5,93,22,1,2,0,0,2,1,0,0,0,0
Clairton Ward 3 Dist 2,318,Presidential Electors,202,85,49,3,47,13,0,1,1,0,1,0,0,0,0,0
Clairton Ward 3 Dist 3,350,Presidential Electors,192,71,36,5,57,18,4,0,1,0,0,0,0,0,0,0
Clairton Ward 4 Dist 1,347,Presidential Electors,211,145,36,0,21,4,0,1,0,0,2,0,0,0,0,0
Clairton Ward 4 Dist 2,377,Presidential Electors,219,134,30,7,27,15,1,1,1,0,1,0,0,0,0,0
Clairton Ward 4 Dist 3,421,Presidential Electors,297,102,46,2,113,25,2,2,1,0,2,0,0,1,0,0
Collier Dist 1,1662,Presidential Electors,1427,349,283,11,594,158,11,7,0,0,4,1,0,4,4,0
Collier Dist 2,1416,Presidential Electors,1213,320,182,8,546,135,3,3,1,0,6,2,0,3,0,0
Collier Dist 3,1309,Presidential Electors,1090,279,269,6,378,132,3,4,1,0,4,1,0,7,0,0
Collier Dist 4,762,Presidential Electors,633,217,145,3,216,46,0,1,0,0,2,0,0,2,0,0
Collier Dist 5,1005,Presidential Electors,827,171,137,6,328,160,6,1,1,0,3,1,0,6,5,0
Collier Dist 6,1154,Presidential Electors,911,253,206,4,362,66,7,2,3,0,6,0,0,0,0,0
Coraopolis Ward 1 Dist 1,456,Presidential Electors,332,159,62,1,85,14,3,3,2,0,2,1,0,0,0,0
Coraopolis Ward 1 Dist 2,481,Presidential Electors,367,138,66,6,138,15,1,1,0,0,2,0,0,0,0,0
Coraopolis Ward 2,813,Presidential Electors,555,187,138,7,173,46,3,0,0,0,0,1,0,0,0,0
Coraopolis Ward 3 Dist 1,593,Presidential Electors,454,150,108,3,157,27,3,0,1,0,3,0,0,1,0,0
Coraopolis Ward 3 Dist 2,557,Presidential Electors,448,143,92,11,171,24,1,1,0,0,1,0,0,0,1,0
Coraopolis Ward 4 Dist 1,457,Presidential Electors,343,119,64,2,131,19,5,0,0,0,3,0,0,0,0,0
Coraopolis Ward 4 Dist 2,523,Presidential Electors,408,132,72,7,154,37,0,2,1,0,1,0,0,0,2,0
Crafton Ward 1 Dist 1,905,Presidential Electors,713,298,152,1,189,53,5,3,2,0,4,3,0,1,1,0
Crafton Ward 1 Dist 2,598,Presidential Electors,468,177,96,6,151,26,1,1,1,0,3,0,2,0,2,0
Crafton Ward 2 Dist 1,608,Presidential Electors,486,192,100,1,151,30,0,2,1,0,7,0,0,2,0,0
Crafton Ward 2 Dist 2,786,Presidential Electors,578,230,143,5,146,46,0,2,2,0,0,1,0,1,0,0
Crafton Ward 3 Dist 1,1005,Presidential Electors,810,328,176,8,237,37,2,5,0,0,7,3,0,6,0,0
Crafton Ward 3 Dist 2,563,Presidential Electors,454,191,67,4,156,30,2,0,0,0,2,0,0,0,0,0
Crescent Ward 1,1078,Presidential Electors,886,264,124,6,382,88,3,0,1,0,11,3,0,0,2,0
Crescent Ward 2,698,Presidential Electors,563,138,87,1,283,43,1,1,0,0,5,1,0,1,1,0
Dormont Dist 1,729,Presidential Electors,561,232,150,0,145,30,0,0,1,0,1,0,0,1,1,0
Dormont Dist 2,546,Presidential Electors,476,220,111,1,120,14,0,1,0,0,3,0,0,4,0,0
Dormont Dist 3,927,Presidential Electors,726,332,164,4,188,22,3,1,2,0,3,1,0,3,2,0
Dormont Dist 4,662,Presidential Electors,513,227,129,3,109,35,0,2,1,0,1,0,0,3,2,0
Dormont Dist 5,1026,Presidential Electors,811,366,186,15,186,43,3,4,2,0,2,1,0,1,0,0
Dormont Dist 6,519,Presidential Electors,427,176,100,7,95,35,2,4,1,0,4,0,0,2,1,0
Dormont Dist 7,521,Presidential Electors,425,195,119,1,94,9,1,2,0,0,0,1,0,1,0,0
Dormont Dist 8,407,Presidential Electors,336,163,69,1,78,18,1,1,0,0,1,1,0,2,0,0
Dormont Dist 9,544,Presidential Electors,444,212,101,4,98,23,0,4,0,0,0,0,0,1,0,0
Dormont Dist 10,636,Presidential Electors,527,273,96,5,129,13,3,3,0,0,3,0,0,1,0,0
Dravosburg Dist 1,540,Presidential Electors,387,108,65,2,174,29,1,2,0,0,3,1,0,1,0,0
Dravosburg Dist 2,341,Presidential Electors,279,63,48,0,138,25,0,1,1,0,1,0,0,1,0,0
Dravosburg Dist 3,257,Presidential Electors,210,58,37,1,88,18,1,2,0,0,3,0,0,1,0,0
Duquesne Ward 1 Dist 1,449,Presidential Electors,320,148,57,7,81,21,3,0,0,0,1,0,0,1,0,0
Duquesne Ward 1 Dist 2,485,Presidential Electors,268,130,63,15,41,12,1,0,1,0,1,0,0,1,0,0
Duquesne Ward 1 Dist 3,296,Presidential Electors,142,101,20,4,8,5,1,0,0,0,1,0,0,1,0,0
Duquesne Ward 1 Dist 4,192,Presidential Electors,98,51,16,6,18,5,0,0,0,0,0,0,0,0,0,0
Duquesne Ward 2 Dist 1,328,Presidential Electors,166,94,42,4,20,5,0,0,0,0,0,0,0,0,0,0
Duquesne Ward 2 Dist 2,362,Presidential Electors,191,106,41,8,28,3,1,2,0,0,1,1,0,0,0,0
