precinct_id,registered_voters,contest_name,total_votes_cast,Eugene DePasquale - Election Day,Eugene DePasquale - Absentee,Eugene DePasquale - Provisional,Dave Sunday - Election Day,Dave Sunday - Absentee,Dave Sunday - Provisional,Robert Cowburn - Election Day,Robert Cowburn - Absentee,Robert Cowburn - Provisional,Richard L. Weiss - Election Day,Richard L. Weiss - Absentee,Richard L. Weiss - Provisional,Justin L. Magill - Election Day,Justin L. Magill - Absentee,Justin L. Magill - Provisional,Eric L. Settle - Election Day,Eric L. Settle - Absentee,Eric L. Settle - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
McKees Rocks Ward 1 Dist 1,179,Attorney General,31,19,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McKees Rocks Ward 1 Dist 2,523,Attorney General,281,142,55,7,38,18,2,3,0,0,2,0,0,4,3,0,1,0,0,0,0,1
McKees Rocks Ward 2 Dist 1,659,Attorney General,327,158,55,9,73,13,1,0,0,0,6,0,0,1,0,0,2,0,0,0,0,0
McKees Rocks Ward 2 Dist 2,591,Attorney General,301,157,36,2,68,12,1,5,1,0,4,0,1,2,0,0,2,0,0,0,0,0
McKees Rocks Ward 3 Dist 1,762,Attorney General,494,179,90,17,132,29,4,6,1,0,5,1,0,2,1,0,1,1,0,0,1,0
McKees Rocks Ward 3 Dist 2,534,Attorney General,272,106,57,8,66,11,3,1,1,0,6,0,0,2,1,1,0,0,0,0,2,0
McKees Rocks Ward 3 Dist 3,511,Attorney General,286,139,43,5,60,18,1,4,0,0,3,1,0,3,0,0,0,0,0,0,0,0
Millvale Dist 1,510,Attorney General,357,168,75,2,74,14,1,5,0,0,5,0,0,2,0,0,1,1,0,2,0,0
Millvale Dist 2,463,Attorney General,334,124,41,0,123,8,0,7,0,0,8,0,1,6,0,0,1,1,0,1,0,0
Millvale Dist 3,453,Attorney General,334,153,76,1,67,15,0,3,0,0,5,3,0,2,0,0,0,0,0,0,0,0
Millvale Dist 4,452,Attorney General,325,134,41,3,99,22,1,3,1,0,5,4,0,1,0,0,0,0,0,0,0,0
Millvale Dist 5,521,Attorney General,401,166,78,1,99,23,0,5,1,0,5,3,1,2,0,0,1,0,0,1,0,0
Monroeville Ward 1 Dist 1,703,Attorney General,540,180,93,0,191,36,1,5,1,0,3,0,0,6,0,0,2,0,0,1,0,0
Monroeville Ward 1 Dist 2,636,Attorney General,535,151,106,7,208,36,0,4,1,0,1,2,0,3,0,0,0,0,0,0,0,0
Monroeville Ward 1 Dist 3,802,Attorney General,678,225,154,3,185,71,1,3,1,0,8,1,0,2,0,1,0,0,0,0,0,0
Monroeville Ward 1 Dist 4,918,Attorney General,608,223,150,8,138,38,2,12,0,1,6,0,0,1,1,0,1,1,0,0,0,0
Monroeville Ward 2 Dist 1,956,Attorney General,795,271,147,1,252,67,2,7,0,0,11,0,1,2,1,0,2,0,0,2,1,0
Monroeville Ward 2 Dist 2,979,Attorney General,818,270,196,4,227,72,0,11,0,1,6,1,0,5,0,0,1,0,0,0,1,0
Monroeville Ward 2 Dist 3,1094,Attorney General,896,272,209,5,286,87,3,3,3,0,3,0,1,1,3,0,2,0,0,0,1,0
Monroeville Ward 3 Dist 1,1192,Attorney General,954,221,238,4,314,128,8,4,3,0,5,3,0,3,0,0,1,3,0,0,0,0
